SDP_SpaceAngle_Diff,Chi0_Diff,Rp_Diff,Axis_SpaceAngle_Diff,Rec_Level,Shower_Class
109.913, -144.668, -913.459, 0, 3, 'Muon + Noise'
1.09591, -14.6791, 178.03, 14.9374, 10, 'Shower Candidate'
0.0558602, 0.497952, -13.4122, 0.521075, 10, 'Shower Candidate'
0.0499938, 0.215505, -1.24033, 0.247076, 10, 'Shower Candidate'
1.04468, 3.35386, -49.7262, 2.55259, 10, 'Shower Candidate'
1.03165, 0.491515, -321.283, 0.775463, 10, 'Close Shower'
2.57868, -3.0229, -128.19, 0.395144, 10, 'Muon + Noise'
5.0333, -25.6908, -315.535, 151.128, 5, 'Muon + Noise'
0.810359, -1.69304, -2.41905, 1.29228, 10, 'Muon + Noise'
99.617, 34.8819, -30.9893, 174.989, 5, 'Long Muon'
9.18186, 1.72491, 128.037, 1.21212, 10, 'Muon + Noise'
0.246158, -0.688889, -15.0481, 0.761702, 10, 'Muon + Noise'
12.4346, -7.86705, 126.706, 1.67967, 10, 'Muon + Noise'
88.9592, -0.29545, -897.266, 165.223, 5, 'Long Muon'
3.14647, -0.893154, -667.214, 0.807048, 10, 'Close Shower'
7.81169, 2.5409, -70.8751, 1.57356, 10, 'Muon + Noise'
134.135, -90.1253, -955.054, 0, 2, 'Noise'
121.922, -127.91, -1612.35, 0, 3, 'Noise'
149.747, 69.5289, -761.273, 166.84, 5, 'Muon + Noise'
0.0869715, -31.7522, 489.728, 31.7526, 10, 'Shower Candidate'
0.225523, -22.254, 341.501, 22.2552, 5, 'Close Shower'
1.20017, 0.854926, -51.921, 0.608943, 10, 'Close Shower'
2.92103, -12.229, 125.858, 8.43388, 10, 'Noise'
16.8751, -7.79333, -129.168, 2.51655, 10, 'Muon + Noise'
34.8319, 52.5695, -540.014, 158.818, 5, 'Muon + Noise'
7.81131, 1.93649, 193.174, 1.90877, 10, 'Close Shower'
10.85, 1.0139, 282.362, 1.11067, 10, 'Muon + Noise'
9.78699, 67.6488, -926.543, 118.089, 5, 'Muon + Noise'
1.17321, 103.615, -494.924, 103.27, 5, 'Muon + Noise'
0.630892, 0.479868, -22.3299, 0.527924, 10, 'Shower Candidate'
0.547239, 13.3058, -63.2658, 13.3757, 5, 'Shower Candidate'
2.32714, 0.532402, -36.4412, 0.342309, 10, 'Close Shower'
2.22393, 0.442748, 34.9376, 0.400883, 10, 'Close Shower'
4.37144, -6.90635, 36.2256, 0.753026, 10, 'Muon + Noise'
2.00306, 4.06221, 7.71905, 3.2172, 10, 'Muon + Noise'
10.934, -2.19012, 30.0391, 1.87211, 10, 'Close Shower'
0.481018, 0.140637, -95.0421, 0.116916, 10, 'Muon + Noise'
0.67515, 0.424114, 31.3142, 0.0988849, 10, 'Shower Candidate'
158.334, 37.9295, -496.005, 161.881, 5, 'Muon + Noise'
0.313011, 0.552437, 27.1581, 0.48816, 10, 'Close Shower'
5.71833, -0.270067, 65.7492, 0.744674, 10, 'Close Shower'
173.385, 82.0847, -317.524, 153.33, 5, 'Long Muon'
102.908, 45.2034, -44.5688, 142.816, 5, 'Muon + Noise'
4.78956, 1.90482, 128.962, 0.309851, 10, 'Muon + Noise'
1.26708, 1.77031, -80.0041, 0.773818, 10, 'Close Shower'
2.45032, 13.3181, -206.484, 13.4276, 10, 'Close Shower'
14.3764, 69.9171, -701.633, 104.636, 5, 'Muon + Noise'
0.679581, -0.404969, 12.649, 0.18893, 10, 'Close Shower'
28.9679, -33.1611, 321216, 40.3721, 5, 'Muon'
1.7894, -0.897996, -183.081, 0.222066, 10, 'Long Muon'
